category,category_id,subcategory,subcateogory_id,amount,year
議会費,1,議会費,1,707005687,2011
総務費,2,総務管理費,2,6633254223,2011
総務費,2,徴税費,3,519427460,2011
総務費,2,戸籍住民基本台帳費,4,505604721,2011
総務費,2,選挙費,5,164290398,2011
総務費,2,統計調査費,6,91748422,2011
総務費,2,監査委員費,7,69191029,2011
地域振興費,3,コミュニティ振興費,8,1387740317,2011
地域振興費,3,文化学習スポーツ費,9,1336137918,2011
地域振興費,3,生活産業費,10,4853400889,2011
民生費,4,社会福祉費,11,5421735009,2011
民生費,4,児童福祉費,12,9513061960,2011
民生費,4,生活保護費,13,2274679532,2011
民生費,4,国民年金費,14,28539124,2011
衛生費,5,保健衛生費,15,2662061350,2011
衛生費,5,環境費,16,343368473,2011
衛生費,5,清掃費,17,3204937108,2011
土木建築費,6,土木管理費,18,763665174,2011
土木建築費,6,道路橋梁費,19,2150944537,2011
土木建築費,6,公園費,20,1067475073,2011
土木建築費,6,土木施設整備費,21,233692962,2011
土木建築費,6,都市整備費,22,7946578217,2011
教育費,7,教育総務費,23,1423915636,2011
教育費,7,小学校費,24,4454579249,2011
教育費,7,中学校費,25,1025639613,2011
教育費,7,校外施設費,26,243891548,2011
教育費,7,幼稚園費,27,1059442876,2011
教育費,7,図書文化財費,28,715402548,2011
公債費,8,公債費,29,821433704,2011
諸支出金,9,他会計繰出金,30,3213270000,2011
諸支出金,9,財政積立金,31,4737945000,2011
予備費,10,予備費,32,0,2011
