category,category_id,subcategory,subcateogory_id,amount,year
議会費,1,議会費,101,707005687,2011
総務費,2,総務管理費,201,6633254223,2011
総務費,2,徴税費,202,519427460,2011
総務費,2,戸籍住民基本台帳費,203,505604721,2011
総務費,2,選挙費,204,164290398,2011
総務費,2,統計調査費,205,91748422,2011
総務費,2,監査委員費,206,69191029,2011
地域振興費,3,コミュニティ振興費,301,1387740317,2011
地域振興費,3,文化学習スポーツ費,302,1336137918,2011
地域振興費,3,生活産業費,303,4853400889,2011
民生費,4,社会福祉費,401,5421735009,2011
民生費,4,児童福祉費,402,9513061960,2011
民生費,4,生活保護費,403,2274679532,2011
民生費,4,国民年金費,404,28539124,2011
衛生費,5,保健衛生費,501,2662061350,2011
衛生費,5,環境費,502,343368473,2011
衛生費,5,清掃費,503,3204937108,2011
土木建築費,6,土木管理費,601,763665174,2011
土木建築費,6,道路橋梁費,602,2150944537,2011
土木建築費,6,公園費,603,1067475073,2011
土木建築費,6,土木施設整備費,604,233692962,2011
土木建築費,6,都市整備費,605,7946578217,2011
教育費,7,教育総務費,701,1423915636,2011
教育費,7,小学校費,702,4454579249,2011
教育費,7,中学校費,703,1025639613,2011
教育費,7,校外施設費,704,243891548,2011
教育費,7,幼稚園費,705,1059442876,2011
教育費,7,図書文化財費,706,715402548,2011
公債費,8,公債費,801,821433704,2011
諸支出金,9,他会計繰出金,901,3213270000,2011
諸支出金,9,財政積立金,902,4737945000,2011
予備費,10,予備費,1001,0,2011
